type,start,end,_end,title,description,category,project,keyword
Cinema,1930-11-18,,,The Labour Department asks Sergei Eisenstein to leave the country.,The Labour Department asks Sergei Eisenstein to leave the country by the end of November. Sergei Eisenstein negotiates with Upton Sinclair and Amkino. Sergei Eisenstein spends the day with Robert Flaherty in Santa Monica.,Cinema and Theatre,,
Cinema,1930-11-24,,,Sergei Eisenstein signs a contract regarding intellectual property rights for his Mexican film.,"With the consent of Sojuzkino and the Russian-American joint stock company Amkino, Sergei Eisenstein Sergei Eisenstein signes an agreement with Mary Craig Sinclair: ""Sergei Eisenstein agrees that all footage, negative films and positive copies, as well as any story or idea in said Mexican film produced by him or under his direction in Mexico will be the property of Mary Craig Sinclair, and that she may sell said material in any manner and at any price she desires. She shall be the sole owner of the world rights to said Mexican film and shall have the option to register the copyright to it in her name [...] The final scenes of the agreement are based on Sergei Eisensteins desire to make a Mexican film according to his own ideas and in full confidence in Sergei Eisensteins artistic integrity and in consideration of his promise that the film will not have a political theme, in appreciation of his prestige and talent.",Cinema and Theatre,¡Que viva México!,Sojuzkino;Mary Craig Sinclair;¡Que viva México!
Biography,1930-11-26,,,The entry visas for the film group arrive at Upton Sinclairs.,The entry visas for the film group arrive at Upton Sinclairs.,Biography and Personality;Cinema and Theatre,,
Biography,1930-12-01,,,Mary Craig Sinclair agrees to a treaty amendment proposed by Eisenstein.,"Mary Craig Sinclair agrees to a treaty amendment proposed by Eisenstein, according to which the Soviet Union will receive the ¡Que viva México! free of charge for screenings within the USSR.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Mary Craig Sinclair;¡Que viva México!;Hunter S. Kimborough
Biography,1930-12-04,,,Sergei Eisenstein sees City Lights with Charlie Chaplin.,"Before leaving Hollywood, Sergei Eisenstein sees the edited version of City Lights (1931) with Charlie Chaplin, not yet set to music.",Biography and Personality,,Charlie Chaplin;City Lights
Biography,1930-12-05,,,Sergei Eisensteins team crosses the Mexican border at Nogales.,"Sergei Eisensteins team crosses the Mexican border at Nogales. Upton Sinclair urges Hunter Kimborough to refrain from alcohol in Mexico, as his wife has mentioned such a promise to Eisenstein.",Biography and Personality,,
Biography,1930-12-08,,,Sergei Eisenstein arrives in Mexico City.,Sergei Eisenstein arrives in Mexico City.,Biography and Personality,,Travels
Biography,1930-12-09,,,Sergei Eisenstein discusses the formalities for making the film at the Ministry of the Interior and the police headquarters.,Sergei Eisenstein discusses the formalities for making the film at the Ministry of the Interior and the police headquarters; the police chief promises him general support and an interpreter. Discussion with the American ambassador Clark; in the evening visit of several small theatres. ,Biography and Personality;Cinema and Theatre,¡Que viva México!,Travels;¡Que viva México!
Cinema,1930-12-09,,,,"Letter from Mary Craig Sinclair to Aline Barnsdall: ""We decided to make a $50000 film instead of a $25000 film. According to the professionals in the film business, this will pay off much more [...] Anyone who knows anything about the film business tells us that our investment will not be lost and we will make a safe profit.",Cinema and Theatre,,
Cinema,1930-12-11,,,The Mexican government gives permission to film.,The Mexican government gives permission to film.,Cinema and Theatre,¡Que viva México!,Travels;¡Que viva México!
Cinema,1930-12-14,,,Start of shooting the Mexican film (¡Que viva México!).,Start of shooting ¡Que viva México! with shots of the fiesta in Guadelupe and bullfighting scenes. ,Cinema and Theatre,¡Que viva México!,¡Que viva México!
Cinema,1930-12-15,1931-01-10,,The Mexican film team is assigned several consultants for the recording work.,"Sergei Eisensteins team is assigned several consultants for the recording work, including Adolfo Best-Maugard and Augustin Aragon-Leiva. ",Cinema and Theatre,¡Que viva México!,Adolfo Best-Maugard;Augustin Aragon-Leiva;¡Que viva México!
Cinema,1930-12-17,1931-01-10,,Sergei Eisenstein sketches an atmospheric rough draft for the epilogue.,Sergei Eisenstein sketches an atmospheric rough draft for the epilogue,Cinema and Theatre,¡Que viva México!,¡Que viva México!
Cinema,1930-12-21,,,Part of the film team including Sergei Eisenstein gets arrested for a short while before getting released after a short interrogation.,"Sergei Eisenstein, Grigoriy Aleksandrov, Eduard Tissé and Hunter S. Kimborough are probably arrested at 10 a.m. on the basis of a denunciation by Pease. After a brief interrogation, Sergei Eisensteins group is released but remains under surveillance.",Cinema and Theatre,¡Que viva México!,Major Pease;Grigori Aleksandrov;Eduard Tissé;Hunter S. Kimborough;¡Que viva México!
Cinema,1930-12-28,,,Sergei Eisenstein films a bullfighting scene in Puebla.,Sergei Eisenstein films a bullfighting scene in Puebla.,Cinema and Theatre,¡Que viva México!,Travels;¡Que viva México!
Cinema,1931-01-02,,1931-01-10,Shooting in Acapulco.,Shooting in Acapulco. ,Cinema and Theatre,¡Que viva México!,Travels;¡Que viva México!
Biography,1931-01-02,,1931-01-10,Sergei Eisenstein meets President Ortiz Rubio. ,Sergei Eisenstein meets President Ortiz Rubio. ,Biography and Personality,,Travels;President Ortiz Rubio
Biography,1931-01-09,,,Sergei Eisenstein meets the Mexican painter David Alfaro Siqueiros.,Sergei Eisenstein meets the Mexican painter David Alfaro Siqueiros.,Biography and Personality,,David Alfaro Siqueiros
Cinema,1931-01-16,,,Earthquake in Oaxaca,Earthquake in Oaxaca. The group charters a plane to film the earthquake.,Cinema and Theatre,,Travels
Biography,1931-01-17,,,Return to Mexico City,Return to Mexico City,Biography and Personality,,
Biography,1931-01-24,,,Upton Sinclair shows photographs from the shooting in Mexico to a selected group without informing Sergei Eisenstein. ,"Upton Sinclair shows in Los Angeles to a selected group of people, including Albert Einstein, Berthold and Salka Viertel and Seymour Stern, the first photographs from Mexico. At Sergei Eisensteins urgent request, Sinclair later promises not to show any material until Sergei Eisenstein has seen it.",Biography and Personality,¡Que viva México!,Upton Sinclair;Albert Einstein;Berthold;Salka Viertel;Seymour Stern;¡Que viva México!
Biography,1931-01-31,,,Sergei Eisenstein commissions Leopold Stokowsk to compose music for ¡Que viva México! ,Meeting with the composer Leopold Stokowski in Mexico City. Sergei Eisenstein commissions him to compose the music for the ¡Que viva México!,Biography and Personality;Cinema and Theatre,¡Que viva México!,Leopold Stokowski;¡Que viva México!
Biography,1931-01-31,,,Sergei Eisenstein gets invited by Mexico City mayor and gets misunderstood for Albert Einstein.,"The district major of Mexico City invites Sergei Eisenstein for a conversation; after more than an hour of waiting, it turns out that Sergei Eisenstein has been mistaken for Albert Einstein.",Biography and Personality,,Albert Einstein
Biography,1931-01-30,,,Departure of the group to Tehuantepec for recording.,Departure of the group to Tehuantepec for recording.,Biography and Personality;Cinema and Theatre,¡Que viva México!,Travels;¡Que viva México!
Biography,1931-02-04,,,Arrival of the ¡Que viva México! team in Tehuantepec,"Arrival in Tehuantepec, the scene of the first novel Sandunga. Grigoriy Aleksandrov, Eduard Tissé, Hunter S. Kimborough and Augustín Aragón Leiva ride to Salina Cruz to get film material. On the way back they take pictures of a fiesta in San Mateo. Sergei Eisenstein is sick with flu for two days.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Sandunga;Grigori Aleksandrov;Eduard Tissé;Hunter S. Kimborough;Leiva;¡Que viva México!
Biography,1931-02-05,1931-03-01,,Sergei Eisenstein checks out filming oppertunities at Juchitán.,"Sergei Eisenstein, Grigoriy Aleksandrov and Hunter S. Kimborough drive to Juchitán to check the area for filming opportunities. The result is negative.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Grigori Aleksandrov;Hunter S. Kimborough;¡Que viva México!
Cinema,1931-02-06,,,Sergei Eisenstein films a fiesta in Tehuantepec.,"In Tehuantepec, Sergei Eisenstein films a fiesta.",Cinema and Theatre,¡Que viva México!,Travels;¡Que viva México!
Cinema,1931-02-19,,,Sergei Eisenstein films a bullfighting scene in San Blas. ,Sergei Eisenstein is filming in San Blas where he hires the bullfighter David Liceaga for bullfighting scenes.,Cinema and Theatre,¡Que viva México!,Liceaga;¡Que viva México!
Biography,1931-02-20,,,Upton Sinclair updates about finances for ¡Que viva México!,"Upton Sinclair writes to Hunter Kimborough that the amount of $50,000 is secured for the next few days; however, only $40,000 is expected to be used in Mexico, with the rest for synchronization in the USA. Advises him to get the visa for the USA already.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Upton Sinclair;Hunter S. Kimborough;¡Que viva México!
Graphic,1931-03-01,,1931-12-31,Sergei Eisenstein conceives the direction of Black Majesty.,Sergei Eisenstein makes drawings and conceives the direction of Black Majesty.,Graphic Art;Cinema and Theatre,Black Majesty,Black Majesty;Drawing
Cinema,1931-03-02,,,The Mexico film team leaves Tehuantepec.,The Mexico film team leaves Tehuantepec.,Cinema and Theatre,,
Biography,1931-03-04,,,Arrival in Mexico City.,The Mexico film team arrives in Mexico City.,Biography and Personality;Cinema and Theatre,,
Cinema,1931-03-05,1931-03-31,,Upton Sinclair instructs Hunter Kimborough to limit spending due to assembly and synchronization costs.,"Upton Sinclair instructs Hunter Kimborough to limit spending to $36,000 due to assembly and synchronization costs.",Cinema and Theatre,,
Biography,1931-03-07,1931-04-10,,The Mexico film team flies to Yucatan.,"Sergei Eisensteins ¡Que viva México! group flies to Yucatan, the filming location of the prologue.",Biography and Personality;Cinema and Theatre,¡Que viva México!,¡Que viva México!
Cinema,1931-03-08,,,Sergei Eisenstein shoots bullfighting scenes in Merida. ,"With David Liceaga, Sergei Eisenstein shoots bullfighting shots in Merida.",Cinema and Theatre,¡Que viva México!,¡Que viva México!
Cinema,1931-03-20,,,Sergei Eisenstein obtains permission to film the ruins of Chichin Itza.,Sergei Eisensteins filming team optains permission to film the ruins of Chichin Itza. Weather and light conditions deteriorate.,Cinema and Theatre,¡Que viva México!,Chichin Itza;¡Que viva México!
Cinema,1931-03-22,1931-04-17,,Filming in Merida.,Filming in Merida.,Cinema and Theatre,¡Que viva México!,¡Que viva México!
Cinema,1931-03-23,1931-04-28,1931-03-31,Sergei Eisenstein works with David Liceaga on close-ups.,Sergei Eisenstein works with David Liceaga on close-ups.,Cinema and Theatre,¡Que viva México!,Liceaga;¡Que viva México!
Cinema,1931-04-04,,1931-04-10,"Sergei Eisensteins group in Celestun, Yucatan.","Sergei Eisensteins group in Celestun, Yucatan. Upton Sinclair complains to Hunter Kimborough about the poor filming conditions in Celestun.",Cinema and Theatre,,
Cinema,1931-04-06,,,Upton Sinclair writes his mother that the cost of the film is now affecting him personally. ,Upton Sinclair writes his mother that the cost of the film is now affecting him personally. ,Cinema and Theatre,,
Cinema,1931-04-12,,,Sergei Eisenstein receives an offer to film Joseph R. Kiplings novel Kim.,Sergei Eisenstein receives an offer to film Joseph R. Kiplings novel Kim.,Cinema and Theatre,,Joseph R. Kipling;Kim;¡Que viva México!
Cinema,1931-04-12,,1931-04-17,"The Mexico film team shoots in Chichin Itza, Yucatan.","Sergei Eisensteins group works in Chichin Itza, Yucatan.",Cinema and Theatre,¡Que viva México!,Chichin Itza;¡Que viva México!
Cinema,1931-04-21,,1931-04-28,"The Mexico film team shoots at the picturesque location in Izamal, Yucatan.","Sergei Eisensteins group works in Izamal, Yucatan. They film ""Mayan Indians, Spanish ladies in picturesque carriages and a wonderful monastery,""",Cinema and Theatre,¡Que viva México!,¡Que viva México!
Biography,1931-04-28,,,Sergei Eisenstein is back in Mérida.,Sergei Eisenstein is back in Mérida.,Biography and Personality,,
Biography,1931-04-29,,,Departure from Mérida.,Departure from Mérida.,Biography and Personality,,
Cinema,1931-04-30,,,Sergei Eisenstein complains about the advertisement strategy of Upton Sinclair.,Sergei Eisenstein complains to Upton Sinclair that he startsadvertising prematurely and behaves clumsily towards thepress.,Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!
Writings,1931-05-00,,,Sergi Eisenstein starts working on a book about questions of film directing.,Sergei Eisenstein is working on a book about questions of film directing.,Writing and Teaching,,
Cinema,1931-05-04,,,Sergei Eisenstein arrives at the Hacienda Tetlapayac to shoot the Maguey episode.,"Arrival at the Hacienda Tetlapayac, shooting the scene of the Maguey episode.",Cinema and Theatre,¡Que viva México!,Maguey;¡Que viva México!
Biography,1931-05-20,,,¡Que viva México!s shooting comes to a temporary halt due to weather. Sergei Eisenstein occupies himself with books. ,"Due to continuous rain, filming comes to a halt. Sergei Eisensteinasks Upton Sinclair for eight books, including an ethymologicaldictionary and The Black Napoleon by Percy Waxman.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Filming Interruptions;Upton Sinclair;The Black Napoleon;Percy Waxman;¡Que viva México!
Biography,1931-06-15,,,Sergei Eisenstein tells Moussinac that he can stay in Mexico for two more months.,"Sergei Eisenstein to Moussinac: ""Moscow has extended my stay abroad until November because they are very interested in my work here. I will stay in Mexico for another two months.",Biography and Personality;Cinema and Theatre,,
Cinema,1931-06-16,1931-07-00,,Sergei Eisenstein argues for spending the entire budget on filming in Mexico.,"Sergei Eisenstein to Upton Sinclair: ""Were working under very difficult conditions here. To make the not-yet-marketable material into a saleable film - we have to spend the whole $50,000. The rainy season is disrupting all our plans - the ranch, for example: we thought we could get everything done here in three weeks - and now weve been here six weeks and have only done three quarters of the work."" Eisenstein explains why 38000 meters of exposed material is rather too little than too much for a 7 to 8 roll film. Upton Sinclair tells Hunter Kimborough that all the material was blocked by censorship, and that all positive prints were sent back to Mexico without their knowledge.",Cinema and Theatre,,
Cinema,1931-06-17,,,Sinclair tries to sell the production to Otto H. Kahn,Upton Sinclair tries to sell the production of the Mexico film to Otto H. Kahn.,Cinema and Theatre,,
Biography,1931-06-20,,,Continuous rain causes interruptions in shooting the Mexico film.,No shooting is possible due to persistent rain. Sergei Eisensteinwrites Upton Sinclair that he may sue Major Pease for insult upon hisreturn.,Biography and Personality;Cinema and Theatre,¡Que viva México!,Filming Interruptions;Major Pease;Upton Sinclair;¡Que viva México!
Cinema,1931-06-22,,,Upton Sinclair expresses his understanding for the additional spending demanded by Sergei Eisenstein.,"Upton Sinclair to Lev Monosson: ""I cant blame E. for the extra spending. I want to let him finish the film in 1931 his own way and according to his own ideas, but - of course - if I cant do it, I cant do it"".",Cinema and Theatre,,
Biography,1931-06-22,,,The American Consulate grants Sergei Eisenstein a six-month residence permit.,The American Consulate grants Sergei Eisenstein a six-month residence permit.,Biography and Personality,,
Biography,1931-06-23,,,First hints of disputes between Kimborogh and Eisenstein.,"Hunter Kimborough advises Upton Sinclair to guarantee Sergei Eisenstein only another $5,000 instead of $10,000, complains of difficulties with Adolfo Best-Maugard and the authorities, and reports Eisensteins desire to travel via Havana, Miami and New Orleans on his return trip to California. First hints of disputes between Kimborough and Eisenstein.",Biography and Personality;Cinema and Theatre,,
Biography,1931-07-00,,,Visit of Katherine Anne Porter at the Hacienda Tetlapayac.,Katherine Anne Porter visits the Hacienda Tetlapayac. Sergei Eisenstein works on the scenario.,Biography and Personality;Cinema and Theatre,,Mexico Film;Mexico City;ARK;personal comment
Cinema,1931-07-01,,,Sergei Eisenstein negotiates with Upton Sinclair over finances for ¡Que viva México!,"Sergei Eisenstein writes Sinclair that $5,000 is not enough for the rest of the shoot. He suggests spending $15,000 for this and using $5,000 to  finance the installation. Funders for the dubbing were easier to find for a montaged silent film than for an incomplete film.",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!
Cinema,1931-07-09,1931-08-00,,Signing of the agreement to establish the Mexican Picture Trust.,"Mary Craig Sinclair, Robert Irwin, and Hunter Kimborough sign the text of the agreement to establish the Mexican Picture Trust. Kimborough departs for Mexico.",Cinema and Theatre,,Mexican Picture Trust;Mary Craig Sinclair;Robert Irwin;Hunter Kimborough
Cinema,1931-07-10,1931-08-00,,Sergei Eisenstein is suggested to include direct sound sequence in ¡Que viva México!,"Upton Sinclair suggests to Sergei Eisenstein that he include some direct sound sequences in the film, following the example of Sous les toits de Paris (Rene Clair, 1930).",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Sous les toits de Paris;¡Que viva México!
Cinema,1931-07-18,,,Fatal accident during the filming of ¡Que viva México!,A fatal accident occurs during the filming of ¡Que viva México!: a leading actor steals Eduard Tissés pistol and kills his sister.,Cinema and Theatre;Biography and Personality,¡Que viva México!,Filming Interruptions;Eduard Tissé;¡Que viva México!
Biography,1931-07-22,1931-10-00,,Sergei Eisenstein falls ill during shooting of ¡Que viva México!,Sergei Eisenstein is ill for a week. The shooting is interrupted.  ,Biography and Personality,¡Que viva México!,¡Que viva México!
Biography,1931-08-00,,,Mexican resident permit extended until January 1932.,"In a letter to Léon Moussinac, Sergei Eisenstein explains that his residence permit abroad was extended until January 1932.",Biography and Personality,¡Que viva México!,Moussinac;Letter;¡Que viva México!
Biography,1931-08-07,,,Upton Sincair complains about instructions from Sergei Eisenstein on publicity measures.,"Upton Sinclairs letter to Sergei Eisenstein: He complains about Sergei Eisensteins contradictory instructions about publicity measures and mentions a telegram from Hunter Kimborough that states, that Sergei Eisenstein had in the meantime seen the first developed footage.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Sinclair;Hunter S. Kimborough;conflict;correspondence;¡Que viva México!
Cinema,1931-08-07,,,Upton Sinclair seeks a loan from the Amalgamated Bank in New York.,"Upton Sinclair seeks a loan of $10-15,000 from the Amalgamated Bank in New York.",Cinema and Theatre,,Sinclair;loan;Amalgamated Bank;New York
Cinema,1931-08-08,,,Lev Monosson writes to Upton Sinclair that Amtorg (Amkino) will not invest any more money in the Mexico film.,Lev Monosson writes Upton Sinclair that Amtorg (Amkino) will not invest any money in the film.,Cinema and Theatre,,Monosson;Sinclair;Amtorg;Amkino;funding
Cinema,1931-08-21,,,Sergei Eisensteins thoughts on the novel Maguey.,"Further negative material of the Maguey novel is sent to California. Sergei Eisenstein to Upton Sinclair: ""I think it is of a strong dramatic power and in the plastic effect is best achieved. The story takes place in pre-revolutionary Mexico, that is, before 1910 - the days of Porfirio Diazs dictatorship (the portrayal of the general refers to Diaz). But I wouldnt invite anyone to a screening of these recordings – all  the  material is very tragic – death  and executions – and because it hasnt been edited yet, it could have a depressive rather than cathartic effect on older ladies (which it will have in the final composition).",Cinema and Theatre,¡Que viva México!,Maguey;Upton Sinclair;¡Que viva México!
Cinema,1931-08-27,,,Demand of the Mexican government for a censored screeening of the finished Mexico film.,"Upton Sinclair is sick. Hunter Kimborough sends him the text of a statement  to  the  Mexican  government,  in  which  he  describes their demand for a censored screening of the finished film as an obstacle to its financing. ",Cinema and Theatre,,Sinclair;illness;Kimborough;Mexican government;censored screening;funding
Cinema,1931-08-28,,,Upton Sinclair shares his concern about legths of shots filmed for ¡Que viva México!,"Upton Sinclair suggests to Sergei Eisenstein that, for cost reasons out of the hacienda story, he assemble a five - reel film with a roll of  prologue and epilogue, then return to Mexico and make a second  film  from  the  new  and  unused  old  material. He is concerned about the length of the shots filmed so far.  It is 45,720 meters. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!
Cinema,1931-08-29,1931-09-15,,MGM secures an option to film Upton Sinclairs novel The Wet Parade.,MGM secures an option to film the Upton Sinclair novel The Wet Parade (1931). Sinclair talks to Irvin Thalberg about the Mexico film.,Cinema and Theatre,,
Cinema,1931-08-30,1931-09-28,,"In ¡Que viva México!, Adolfo Best Maugart is replaced by Julio Saldivar. ",Adolpho Best Maugart leaves the group due to a salary cut by Hunter Kimborough; he is replaced by Julio Saldivar.,Cinema and Theatre,¡Que viva México!,Adolpho Best - Maugart;Hunter S. Kimborough;Julio Saldivar;¡Que viva México!
Cinema,1931-08-31,,,The film group prepares for the recordings of the Day of the Dead in Mexico City for ¡Que viva México!,"Sergei Eisensteins group prepares for the recordings of the Day of the Dead in Mexico City.  ""I confess  uite objectively and sincerely that the Day of the Dead, or, more correctly, what I had heard  about  it,  has  been  in  me  […]  that  passionate  longing which, despite my advanced age, can only be compared to the one which seizes every boy once and makes him dream of going to the land of the red - skinned Indians James Fenimore Coopers or to Marseilles, in order to visit with his own eyes the prison cell in the castle If, from which the later Count of Monte Cristo  had  once  fled! Serious  differences between Hunter Kimborough and Sergei Eisenstein. Kimborough protests unsuccessfully against further bullfighting and fiesta recordings. ",Cinema and Theatre,¡Que viva México!,Count of Monte Cristo;Hunter S. Kimborough;¡Que viva México!
Biography,1931-09-00,,1931-10-00,Upton Sinclair is sick.,Upton Sinclair is sick.,Biography and Personality,,
Cinema,1931-09-03,,,Serious differences between Hunter Kimborough and Sergei Eisenstein over the financing of ¡Que viva México!,"Serious differences between Hunter Kimborough and Sergei Eisenstein. Kimborough to  Upton Sinclair: ""Sergei Eisenstein boasts that if money is impossible to raise, he will approach his friends [...] Plans 2-3 months of work here - waste our time shooting fiestas, bullfights – suggest you telegraph him [...] money is impossible to raise - prepare to return to Hollywood. Sinclair reiterates his concerns about the length of the film and the August 28 proposal. MGM is willing to do the dubbing for a story  film.  It  was  indeed  apparent  that  Sergei Eisenstein  was  editing  an excessively  long  version  and  that  it  would  be  rejected  by Hollywood. Sinclair goes on to say that if Sergei Eisenstein dropped an episode during editing, it would not be noticed. Sinclair  to  Lev Monosson: ""Throughout  the  film, the hacienda episode alone forms a continuous story of interest to the audience. ",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Upton Sinclair;¡Que viva México!
Cinema,1931-09-07,,,Sergei Eisenstein rejects Upton Sinclairs proposal of 28 August to make the Hacienda episode into a separate film according to Hollywood standards.,"In a letter to Upton Sinclair, Sergei Eisenstein rejects his August 28 proposal. This was the same as making the death of Polonius in Hamlet a spectacle of its own and the rest a new spectacle. Eisenstein fears that he will be called back to Russia immediately after completion of the first film. He reports contacts to Universal, from which he hopes for further financing.",Cinema and Theatre,¡Que viva México!,Letter;Hamlet;Upton Sinclair;¡Que viva México!
Biography,1931-09-08,,,Sergei Eisenstein tells Upton Sinclair of his annoyance about his contacts with MGM.,Sergei Eisenstein tells Sinclair of his annoyance about his contacts with MGM. ,Biography and Personality;Cinema and Theatre,¡Que viva México!,Upton Sinclair;Metro-Goldwyn-Mayer;¡Que viva México!
Cinema,1931-09-09,,,Sergei Eisenstein finishes filming the fiesta and apporaches potential sponsors. ,Shooting of the Fiesta is completed. Hunter Kimborough and Sergei Eisenstein make new contacts with potential sponsors.,Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;¡Que viva México!
Cinema,1931-09-10,1931-10-00,,Lev Monosson informs Upton Sinclair about the conditions under which Amkino will invest money in the Mexico Film.,"Lev Monosson informs Upton Sinclair about the conditions under which Amkino  will  invest  $25,000 in the Mexico film. He also writes about Sinclairs August 28 proposal: ""As far as I know, such a  procedure is only undertaken by unreliable and irresponsible so-called independent producers who dont give a damn about the directors name and artistic reputation [...] One of the conditions for Amkinos involvement is that the amount of work still to be done  on  the  film  is  identified  and  precisely  and  definitively determined, as well as the maximum amount of time for editing and dubbing in Hollywood."" Sinclair sends Monosson a form of the articles of association of the Mexican Picture Trust",Cinema and Theatre,¡Que viva México!,Monosson;Amkino;¡Que viva México!
Biography,1931-09-11,,,Mexcio Film group returns to Tetlapayac.,Sergei Eisensteins group returns to Tetlapayac. ,Biography and Personality,¡Que viva México!,Travels;¡Que viva México!
Cinema,1931-09-11,,,Upton Sinclair withdraws his proposal to have two films made and ask for a time schedule for ¡Que viva México!,Upton Sinclair withdraws his proposal to have two films made. He writes Sergei Eisenstein that Carl Laemmle of Universal has already seen parts of the positive material and is only interested in  the finished  film. Sinclair asks Eisenstein how much footage he definitely wants to shoot and what the schedule looks like.,Cinema and Theatre,¡Que viva México!,Carl Laemmle;¡Que viva México!
Biography,1931-09-12,,1931-09-15,Mary Craig Sinclair  lies  in  bed  with symptoms of poisoning.,Mary  Craig  Sinclair  lies  in  bed  with symptoms of poisoning.,Biography and Personality,,Upton Sinclair
Biography,1931-09-12,,1931-09-28,Mary Craig Sinclair has a nervous breakdown.,Mary Craig Sinclair has a nervous breakdown and is in hospital until 28 September.,Biography and Personality,,Upton Sinclair;Hunter S. Kimborough
Cinema,1931-09-25,,,Hunter Kimborough tells Upton Sinclair how long Sergei Eisenstein is likely to keep filming in Mexico.,Hunter Kimborough tells Upton Sinclair that Sergei Eisenstein will continue to shoot about 15 240 meters of film. This would take about two or three months.,Cinema and Theatre,,Upton Sinclair
Cinema,1931-09-30,,,Sergei Eisenstein meets the President of Mexico. Interruption  of  the  shooting  due  to  bad  weather. ,Sergei Eisensteins meeting with the President of Mexico. Interruption  of  the  shooting  due  to  bad  weather. ,Cinema and Theatre,¡Que viva México!,Filming Interruptions;¡Que viva México!
Cinema,1931-10-01,,,Sergei Eisenstein travels with Eduard Tissé and the Mexican painter Montenegro to the Pacific coast (Colina) for filming.,Sergei Eisenstein travels with Eduard Tissé and the Mexican painter Montenegro to the Pacific coast (Colina) for filming.,Cinema and Theatre,¡Que viva México!,Eduard Tissé;Montenegro;¡Que viva México!
Cinema,1931-10-01,,,Hunter Kimborough expresses his doubts about Upton Sinclairs schedule and financing plan for the further filming of the Mexico film.,"Hunter Kimborough to Upton Sinclair: ""I think they can complete the work in less than the 120 days they estimated and dont need all the money.",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Upton Sinclair;¡Que viva México!
Cinema,1931-10-02,,,Sergei Eisenstein expresses his concern to Upton Sinclair about Metro-Goldwyn-Mayer shootinfg in Mexico.,Sergei Eisenstein sends Upton Sinclair a new exposé and complains that MGM has started shooting in Mexico. MGM obviously got the idea through negotiations with Sinclair. ,Cinema and Theatre,¡Que viva México!,Metro-Goldwyn-Mayer;¡Que viva México!
Cinema,1931-10-05,,,Coordination between Upton Sinclair and Sergei Eisenstein about filming and budget of ¡Que viva México!,"Upton Sinclair writes Sergei Eisenstein that he told MGM no more than what anyone could read in the newspapers. Sergei Eisenstein had to work faster so he could finish first. He grants Sergei Eisenstein a maximum of another 9,000 meters of footage and $10,000, on condition that Eisenstein gives him his word to come back to America with this amount.",Cinema and Theatre,¡Que viva México!,Metro-Goldwyn-Mayer;¡Que viva México!
Cinema,1931-10-06,,,Upton Sinclair shows Edmund Wilson parts of the uncut Mexico film.,Upton Sinclair shows Edmund Wilson parts of the uncut film.,Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!
Cinema,1931-10-09,1931-11-00,1931-10-14,Hunter Kimborough makes serious accusations against Sergei Eisenstein.,"Hunter Kimborough makes  serious  accusations against Sergei Eisenstein because of his long stay in Colina: ""One simply cannot believe his words- He will never finish the film and will always put us off if we continue to flatter him as an artist and treat him like a god.”",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;¡Que viva México!
Cinema,1931-10-15,,,Upton Sinclair sends Lev Monosson a statement of investments and expenditures for the Mexico film.,"Upton Sinclair sends Lev Monosson a statement of investments and expenditures. According to this, 43,000 of the 50,000 dollars have been spent so far.  Sinclair repeats, in a toned-down form, Hunter Kimboroughs accusations against Sergei Eisenstein and mentions that Eisenstein had not given a contractual guarantee for the montage. Asked to be allowed to use part of the money promised by Amkino for the stay in Mexico, otherwise he would have to call Sergei Eisenstein back shortly.",Cinema and Theatre,¡Que viva México!,Upton Sinclair
Biography,1931-10-16,,,Sergei Eisenstein returns from Colina.,Sergei Eisenstein returns from Colina. ,Biography and Personality,¡Que viva México!,Travels;¡Que viva México!
Cinema,1931-10-16,,1931-10-22,Upton Sinclair and Lev Monosson negotiate finances of ¡Que viva México!. Sinclair complains that Eisenstein ignores his questions and worries.,"Upton Sinclair and Lev Monosson exchange of letters with the agreement that $5,000 of the Amkino investment will be used for  filming,  the  rest  of  $20,000  for  dubbing  and  editing  in Hollywood.  Lev Monosson defends Sergei Eisenstein against Hunter Kimboroughs accusations and advises Sinclair to go to Mexico himself. In his response, Sinclair points out his ill health and complains that Sergei Eisenstein ignores his questions and concerns. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Monosson;¡Que viva México!;Hunter S. Kimborough
Biography,1931-10-20,,,Sergei Eisenstein is back in Mexico City.,Sergei Eisenstein is back in Mexico City. ,Biography and Personality,¡Que viva México!,Travels;¡Que viva México!
