type,start,_end,end,title,description,category,project,keyword,people,places,works,artistic,additional,display temporal,source,displayTemporal,reference,image,VRobject,Event_ID
Biography,1931-07-00,,,Visit of Katherine Anne Porter at the Hacienda Tetlapayac.,Katherine Anne Porter visits the Hacienda Tetlapayac. Sergei Eisenstein works on the scenario.,Biography and Personality;Cinema and Theatre,,Mexico Film;Mexico City;ARK;personal comment,Katherine Anne Porter,Mexico;Mexico City,¡Que viva México!,Script,,July 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 127,July 1931,,,,visit_Katherine_A._Porter
Cinema,1931-07-01,,,Sergei Eisenstein negotiates with Upton Sinclair over finances for '¡Que viva México!'.,"Sergei Eisenstein writes Upton Sinclair that $5,000 is not enough for the rest of the shoot. He suggests spending $15,000 for this and using $5,000 to finance the installation. Funders for the dubbing were easier to find for a montaged silent film than for an incomplete film.",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!,Upton Sinclair,Mexico;Mexico City,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 127,,,,,film_financing_mexico
Cinema,1931-07-09,1931-10-00,,Signing of the agreement to establish the Mexican Picture Trust.,"Mary Craig Sinclair, Robert Irwin, and Hunter Kimborough sign the text of the agreement to establish the Mexican Picture Trust. Kimborough departs for Mexico.",Cinema and Theatre,,Mexican Picture Trust;Mary Craig Sinclair;Robert Irwin;Hunter Kimborough,Mary Craig Sinclair;Hunter Kimborough;Robert Irwin,Mexico;Mexico City,¡Que viva México!,Mexican Picture Trust,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 127,,,,,mexican_picture_trust
Cinema,1931-07-10,,,Sergei Eisenstein is suggested to include some direct sound sequence in '¡Que viva México!'.,"Upton Sinclair suggests to Sergei Eisenstein that he include some direct sound sequences in the film, following the example of 'Sous les toits de Paris' (René Clair, 1930).",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Sous les toits de Paris;¡Que viva México!,Upton Sinclair;René Clair,Mexico;Mexico City,¡Que viva México!,Sound Film,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 127,,,,,working_process_mexico_1
Cinema,1931-07-18,,,Fatal accident during the filming of '¡Que viva México!'.,A fatal accident occurs during the filming of '¡Que viva México!': a leading actor steals Eduard Tisse's pistol and kills his sister.,Cinema and Theatre;Biography and Personality,¡Que viva México!,Filming Interruptions;Eduard Tisse;¡Que viva México!,Eduard Tisse,Mexico;Mexico City,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,fatal_event_during_filming
Biography,1931-07-22,,,Sergei Eisenstein falls ill during shooting of '¡Que viva México!',Sergei Eisenstein is ill for a week. The shooting is interrupted.  ,Biography and Personality,¡Que viva México!,¡Que viva México!,,Mexico;Mexico City,¡Que viva México!,,Health Issues,Before 23 July 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,Before 23 July 1931,,,,working_process_mexico_2
Biography,1931-08-00,,,Mexican resident permit extended until January 1932.,"In a letter to Léon Moussinac, Sergei Eisenstein explains that his residence permit abroad was extended until January 1932.",Biography and Personality,¡Que viva México!,Moussinac;Letter;¡Que viva México!,Léon Moussinac,Mexico;Mexico City,,,,August 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,August 1931,,,,residence_permit_mexico
Biography,1931-08-07,,,Upton Sincair complains about instructions from Sergei Eisenstein on publicity measures.,"Upton Sinclair's letter to Sergei Eisenstein: He complains about Sergei Eisenstein's contradictory instructions about publicity measures and mentions a telegram from Hunter Kimborough that states, that Sergei Eisenstein had in the meantime seen the first developed footage.",Biography and Personality;Cinema and Theatre,¡Que viva México!,Sinclair;Hunter S. Kimborough;conflict;correspondence;¡Que viva México!,Upton Sinclair;Hunter Kimborough,Mexico;Mexico City,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,Sinclair_complains_publicity_measures
Cinema,1931-08-07,,,Upton Sinclair seeks a loan from the Amalgamated Bank in New York.,"Upton Sinclair seeks a loan of $10-15,000 from the Amalgamated Bank in New York.",Cinema and Theatre,,Sinclair;loan;Amalgamated Bank;New York,Upton Sinclair,United States of America;New York,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,funding_mexico_1931_08
Cinema,1931-08-08,,,Lev Monosson writes to Upton Sinclair that Amtorg (Amkino) will not invest any more money in the Mexico film.,Lev Monosson writes Upton Sinclair that Amtorg (Amkino) will not invest any money in the film.,Cinema and Theatre,,Monosson;Sinclair;Amtorg;Amkino;funding,Upton Sinclair;Lev Monosson,United States of America,¡Que viva México!,,Amkino,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,funding_mexico_declined
Cinema,1931-08-21,,,Sergei Eisenstein's thoughts on the novel 'Maguey'.,"Further negative material of the 'Maguey' novel is sent to California. Sergei Eisenstein to Upton Sinclair: ""I think it is of a strong dramatic power and in the plastic effect is best achieved. The story takes place in pre-revolutionary Mexico, that is, before 1910 - the days of Porfirio Diaz's dictatorship (the portrayal of the general refers to Diaz). But I wouldn't invite anyone to a screening of these recordings – all  the  material is very tragic – death and executions – and because it hasn't been edited yet, it could have a depressive rather than cathartic effect on older ladies (which it will have in the final composition).",Cinema and Theatre,¡Que viva México!,Maguey;Upton Sinclair;¡Que viva México!,Upton Sinclair,Mexico;Mexico City,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,e_material_comment_mexico
Cinema,1931-08-27,,,Demand of the Mexican government for a censored screeening of the finished Mexico film.,"Upton Sinclair is sick. Hunter Kimborough sends him the text of a statement to the Mexican government, in which he describes their demand for a censored screening of the finished film as an obstacle to its financing. ",Cinema and Theatre,,Sinclair;illness;Kimborough;Mexican government;censored screening;funding,Upton Sinclair;Hunter Kimborough,Mexico,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,screening_requirements_mexico
Cinema,1931-08-28,,,Upton Sinclair shares his concern about legths of shots filmed for '¡Que viva México!'.,"Upton Sinclair suggests to Sergei Eisenstein that, for cost reasons out of the hacienda story, he assemble a five-reel film with a roll of  prologue and epilogue, then return to Mexico and make a second film from the new and unused old material. He is concerned about the length of the shots filmed so far. It is 45,720 meters. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!,Upton Sinclair,Mexico,¡Que viva México!,,Montage,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 128,,,,,Sinclair's_proposal_hacienda_story
Cinema,1931-08-29,,,MGM secures an option to film Upton Sinclair's novel 'The Wet Parade'.,MGM secures an option to film the Upton Sinclair novel 'The Wet Parade' (1931). Sinclair talks to Irvin Thalberg about the Mexico film.,Cinema and Theatre,,,Upton Sinclair;Irvin Thalberg,United States of America;Mexico,¡Que viva México!,,MGM (Metro-Goldwyn-Mayer),Not later than 29 August 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;pp.128 f.,Not later than 29 August 1931,,,,MGM_secures_option_Sinclair_novel
Cinema,1931-08-30,1931-11-00,,"In '¡Que viva México!', Adolfo Best Maugart is replaced by Julio Saldivar. ",Adolpho Best Maugart leaves the group due to a salary cut by Hunter Kimborough; he is replaced by Julio Saldivar.,Cinema and Theatre,¡Que viva México!,Adolpho Best - Maugart;Hunter S. Kimborough;Julio Saldivar;¡Que viva México!,Adolfo Best Maugard;Hunter Kimborough;Julio Saldivar,Mexico,¡Que viva México!,,,Before 31 August 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 129,Before 31 August 1931,,,,production_team_change_mexico
Cinema,1931-08-31,,,The film group prepares for the recordings of the Day of the Dead in Mexico City for '¡Que viva México!'.,"Sergei Eisenstein's group prepares for the recordings of the Day of the Dead in Mexico City.  ""I confess quite objectively and sincerely that the Day of the Dead, or, more correctly, what I had heard  about  it,  has  been  in  me  […]  that  passionate  longing which, despite my advanced age, can only be compared to the one which seizes every boy once and makes him dream of going to the land of the red - skinned Indians James Fenimore Coopers or to Marseilles, in order to visit with his own eyes the prison cell in the castle If, from which the later Count of Monte Cristo  had  once  fled!"" Serious differences between Hunter Kimborough and Sergei Eisenstein. Kimborough protests unsuccessfully against further bullfighting and fiesta recordings. ",Cinema and Theatre,¡Que viva México!,Count of Monte Cristo;Hunter S. Kimborough;¡Que viva México!,Hunter Kimborough,Mexico;Mexico City,¡Que viva México!,,Shooting,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 129,,,,,preparation_filming_day_of_the_dead
Biography,1931-09-00,,1931-10-00,Upton Sinclair is sick.,Upton Sinclair is sick.,Biography and Personality,,,Upton Sinclair,United States of America,,,,Between September and October 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 129,Between September and October 1931,,,,illness_colleague_1
Cinema,1931-09-03,,,Serious differences between Hunter Kimborough and Sergei Eisenstein over the financing of '¡Que viva México!'.,"Serious differences between Hunter Kimborough and Sergei Eisenstein. Kimborough to  Upton Sinclair: ""Sergei Eisenstein boasts that if money is impossible to raise, he will approach his friends [...]. Plans 2-3 months of work here - waste our time shooting fiestas, bullfights – suggest you telegraph him [...] money is impossible to raise - prepare to return to Hollywood."" Sinclair reiterates his concerns about the length of the film and the August 28 proposal. MGM is willing to do the dubbing for a story  film.  It  was  indeed  apparent  that  Sergei Eisenstein  was  editing  an excessively  long  version  and  that  it  would  be  rejected  by Hollywood. Sinclair goes on to say that if Sergei Eisenstein dropped an episode during editing, it would not be noticed. Sinclair  to  Lev Monosson: ""Throughout  the  film, the hacienda episode alone forms a continuous story of interest to the audience."" ",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Upton Sinclair;¡Que viva México!,Hunter Kimborough;Upton Sinclair;Lev Monosson,Mexico;Mexico City,¡Que viva México!,,MGM (Metro-Goldwyn-Mayer);Montage,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 129,,,,,conflict_Kimborough_Eisenstein_mexico
Cinema,1931-09-07,,,Sergei Eisenstein rejects Upton Sinclair's proposal of 28 August to make the Hacienda episode into a separate film according to Hollywood standards.,"In a letter to Upton Sinclair, Sergei Eisenstein rejects his August 28 proposal. This was the same as making the death of Polonius in Hamlet a spectacle of its own and the rest a new spectacle. Eisenstein fears that he will be called back to Russia immediately after completion of the first film. He reports contacts to Universal, from which he hopes for further financing.",Cinema and Theatre,¡Que viva México!,Letter;Hamlet;Upton Sinclair;¡Que viva México!,Upton Sinclair,Mexico;Mexico City,¡Que viva México!,,Universal,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;pp. 129 f.,,,,,E._rejects_Sinclair's_proposal_hacienda
Biography,1931-09-08,1931-11-00,,Sergei Eisenstein tells Upton Sinclair of his annoyance about his contacts with MGM.,Sergei Eisenstein tells Sinclair of his annoyance about his contacts with MGM. ,Biography and Personality;Cinema and Theatre,¡Que viva México!,Upton Sinclair;Metro-Goldwyn-Mayer;¡Que viva México!,Upton Sinclair,Mexico;Mexico City,,,MGM (Metro-Goldwyn-Mayer),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,critique_Sinclair_mgm_mexico
Cinema,1931-09-09,,,Sergei Eisenstein finishes filming the fiesta and apporaches potential sponsors. ,Shooting of the Fiesta is completed. Hunter Kimborough and Sergei Eisenstein make new contacts with potential sponsors.,Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;¡Que viva México!,Hunter Kimborough,Mexico;Mexico City,¡Que viva México!,,Shooting,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,finishing_filming_fiesta_and_potential_sponsors
Cinema,1931-09-10,,,Lev Monosson informs Upton Sinclair about the conditions under which Amkino will invest money in the Mexico Film.,"Lev Monosson informs Upton Sinclair about the conditions under which Amkino will invest  $25,000 in the Mexico film. He also writes about Sinclair's August 28 proposal: ""As far as I know, such a  procedure is only undertaken by unreliable and irresponsible so-called independent producers who don't give a damn about the director's name and artistic reputation [...] One of the conditions for Amkino's involvement is that the amount of work still to be done  on  the  film  is  identified  and  precisely  and  definitively determined, as well as the maximum amount of time for editing and dubbing in Hollywood."" Sinclair sends Monosson a form of the articles of association of the 'Mexican Picture Trust'.",Cinema and Theatre,¡Que viva México!,Monosson;Amkino;¡Que viva México!,Lev Monosson;Upton Sinclair,Mexico;Mexico City,¡Que viva México!,,Amkino;Mexican Picture Trust,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,production_correspondence_mexico
Biography,1931-09-11,,1931-09-12,Mexcio Film group returns to Tetlapayac.,Sergei Eisenstein's group returns to Tetlapayac. ,Biography and Personality,¡Que viva México!,Travels;¡Que viva México!,,Mexico;Tetlapayac;Travels,,,,Around 11 or 12 September 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,Around 11 or 12 September 1931,,,,location_change
Cinema,1931-09-11,,,Upton Sinclair withdraws his proposal to have two films made and ask for a time schedule for '¡Que viva México!'.,Upton Sinclair withdraws his proposal to have two films made. He writes to Sergei Eisenstein that Carl Laemmle of Universal has already seen parts of the positive material and is only interested in  the finished  film. Sinclair asks Eisenstein how much footage he definitely wants to shoot and what the schedule looks like.,Cinema and Theatre,¡Que viva México!,Carl Laemmle;¡Que viva México!,Upton Sinclair;Carl Laemmle,,¡Que viva México!,,Universal,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,Sinclair_withdraws_proposal
Biography,1931-09-12,,1931-09-15,Mary Craig Sinclair lies in bed with symptoms of poisoning.,Mary  Craig  Sinclair lies in bed with symptoms of poisoning.,Biography and Personality,,Upton Sinclair,Mary Craig Sinclair,,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,illness_Mary_Craig
Biography,1931-09-12,,1931-09-28,Mary Craig Sinclair has a nervous breakdown.,Mary Craig Sinclair has a nervous breakdown and is in hospital until 28 September.,Biography and Personality,,Upton Sinclair;Hunter S. Kimborough,Mary Craig Sinclair,,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,Nervous_breakdown_Mary_Craig
Cinema,1931-09-25,,,Hunter Kimborough tells Upton Sinclair how long Sergei Eisenstein is likely to keep filming in Mexico.,Hunter Kimborough tells Upton Sinclair that Sergei Eisenstein will continue to shoot about 15 240 meters of film. This would take about two or three months.,Cinema and Theatre,,Upton Sinclair,Upton Sinclair;Hunter Kimborough,,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 130,,,,,Kimborough_updates_Sinclair_production_1931_09
Cinema,1931-09-30,,,Sergei Eisenstein meets the President of Mexico. Interruption of the shooting due to bad weather. ,Sergei Eisenstein's meeting with the President of Mexico. Interruption of the shooting due to bad weather. ,Cinema and Theatre,¡Que viva México!,Filming Interruptions;¡Que viva México!,,Mexico,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;pp. 131 f.,,,,,E._meets_president_of_mexico
Cinema,1931-10-01,,,Sergei Eisenstein travels with Eduard Tisse and the Mexican painter Montenegro to the Pacific coast (Colina) for filming.,Sergei Eisenstein travels with Eduard Tisse and the Mexican painter Roberto Montenegro to the Pacific coast (Colina) for filming.,Cinema and Theatre,¡Que viva México!,Eduard Tisse;Montenegro;¡Que viva México!,Eduard Tisse;Roberto Montenegro,Mexico;Colina,¡Que viva México!,,Shooting,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,,,,,e_travel_with_Tissé_Montenegro
Cinema,1931-10-01,,,Hunter Kimborough expresses his doubts about Upton Sinclair's schedule and financing plan for the further filming of the Mexico film.,"Hunter Kimborough to Upton Sinclair: ""I think they can complete the work in less than the 120 days they estimated and don't need all the money.""",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;Upton Sinclair;¡Que viva México!,Upton Sinclair;Hunter Kimborough,,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,,,,,Kimborough_doubts_Sinclair's_schedule_mexico
Cinema,1931-10-02,,,Sergei Eisenstein expresses his concern to Upton Sinclair about Metro-Goldwyn-Mayer shooting in Mexico.,Sergei Eisenstein sends Upton Sinclair a new exposé and complains that MGM has started shooting in Mexico. MGM obviously got the idea through negotiations with Sinclair. ,Cinema and Theatre,¡Que viva México!,Metro-Goldwyn-Mayer;¡Que viva México!,Upton Sinclair,Mexico;Colina,¡Que viva México!,,MGM (Metro-Goldwyn-Mayer),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,,,,,e_concern_mgm_shooting_mexico
Cinema,1931-10-05,,,Coordination between Upton Sinclair and Sergei Eisenstein about filming and budget of '¡Que viva México!'.,"Upton Sinclair writes Sergei Eisenstein that he told MGM no more than what anyone could read in the newspapers. Sergei Eisenstein had to work faster so he could finish first. He grants Sergei Eisenstein a maximum of another 9,000 meters of footage and $10,000, on condition that Eisenstein gives him his word to come back to America with this amount.",Cinema and Theatre,¡Que viva México!,Metro-Goldwyn-Mayer;¡Que viva México!,Upton Sinclair,,¡Que viva México!,,MGM (Metro-Goldwyn-Mayer),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,,,,,Sinclair_remaining_budget_mexico
Cinema,1931-10-06,,,Upton Sinclair shows Edmund Wilson parts of the uncut Mexico film.,Upton Sinclair shows Edmund Wilson parts of the uncut Mexico film.,Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!,Upton Sinclair;Edmund Wilson,,¡Que viva México!,,,Not later than 6 October 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,Not later than 6 October 1931,,,,production_viewing_mexico
Cinema,1931-10-09,1932-00-00,1931-10-14,Hunter Kimborough makes serious accusations against Sergei Eisenstein.,"Hunter Kimborough makes serious accusations against Sergei Eisenstein because of his long stay in Colina: ""One simply cannot believe his words - He will never finish the film and will always put us off if we continue to flatter him as an artist and treat him like a god.”",Cinema and Theatre,¡Que viva México!,Hunter S. Kimborough;¡Que viva México!,Hunter Kimborough,,¡Que viva México!,,,9 and 14 October 1931,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,9 and 14 October 1931,,,,K._accusations_against_E.
Cinema,1931-10-15,,,Upton Sinclair sends Lev Monosson a statement of investments and expenditures for the Mexico film.,"Upton Sinclair sends Lev Monosson a statement of investments and expenditures. According to this, 43,000 of the 50,000 dollars have been spent so far.  Sinclair repeats, in a toned-down form, Hunter Kimborough's accusations against Sergei Eisenstein and mentions that Eisenstein had not given a contractual guarantee for the montage. Asked to be allowed to use part of the money promised by Amkino for the stay in Mexico, otherwise he would have to call Sergei Eisenstein back shortly.",Cinema and Theatre,¡Que viva México!,Upton Sinclair,Hunter Kimborough;Upton Sinclair;Lev Monosson,,¡Que viva México!,,Amkino,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,,,,,Sinclair_Monosson_production_budget_mexico
Biography,1931-10-16,,,Sergei Eisenstein returns from Colina.,Sergei Eisenstein returns from Colina. ,Biography and Personality,¡Que viva México!,Travels;¡Que viva México!,,Mexico;Travels,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 132,,,,,e_returns_from_Colina
Cinema,1931-10-16,,1931-10-22,Upton Sinclair and Lev Monosson negotiate finances of '¡Que viva México!'. Sinclair complains that Eisenstein ignores his questions and worries.,"Upton Sinclair and Lev Monosson exchange of letters with the agreement that $5,000 of the Amkino investment will be used for  filming,  the  rest  of  $20,000  for  dubbing  and  editing  in Hollywood.  Lev Monosson defends Sergei Eisenstein against Hunter Kimborough's accusations and advises Sinclair to go to Mexico himself. In his response, Sinclair points out his ill health and complains that Sergei Eisenstein ignores his questions and concerns. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Monosson;¡Que viva México!;Hunter S. Kimborough,Upton Sinclair;Lev Monosson;Hunter Kimborough,United States of America;Mexico,¡Que viva México!,,Amkino,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;pp.132 f.,,,,,correspondence_Sinclair_Monosson_financing_1931_10
Biography,1931-10-20,,,Sergei Eisenstein is back in Mexico City.,Sergei Eisenstein is back in Mexico City. ,Biography and Personality,¡Que viva México!,Travels;¡Que viva México!,,Mexico;Mexico City,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,e_back_in_Mexico_City_1931_10
Cinema,1931-10-21,,,Upton Sinclair demands a final production plan from Sergei Eisenstein for the remaining weeks in Mexico with the threat to stop the money transfers otherwise.,"Grigori Aleksandrov recovered. Upton Sinclair tells Sergei Eisenstein about the contract with Amkino. He demands a final production plan with the threat to stop money transfers. Kimborough sends this production plan drawn up by Aleksandrov and Sergei Eisenstein, according to which about 120 days of shooting and about 35,000 dollars are still needed. Hunter Kimborough reports an improvement in his relationship with Sergei Eisenstein, but: ""He is like a Negro. Nice words and consideration do not help.""",Cinema and Theatre,¡Que viva México!,¡Que viva México!,Grigori Aleksandrov;Upton Sinclair;Hunter Kimborough,,¡Que viva México!,,Amkino,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,Sinclair_demands_final_production_plan
Cinema,1931-10-23,,,Upton Sinclair again threatens Sergei Eisenstein to suspend payments.,Upton Sinclair again threatens Sergei Eisenstein to suspend payments until he receives a response to his October 5 letter. Stops shipments of raw film; hints Hunter Kimborough at the possibility of having Sergei Eisenstein's entry permit to the U.S. revoked. ,Cinema and Theatre,¡Que viva México!,Upton Sinclair;Hunter S. Kimborough;¡Que viva México!,Upton Sinclair;Hunter Kimborough,,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,Sinclair_again_threatens_E._mexico
Cinema,1931-10-23,,1931-10-24,"Sergei Eisenstein asks for another 17,000 dollars to complete the Mexico film without elaborated music.","Sergei Eisenstein explains his silence with the stay in Colina. Makes the suggestion to complete the shooting according to his plan and to do without elaborated music instead of delivering a half finished film. Demands another 17,000 dollars for the completion of the film - with extreme thriftiness. He explains to Upon Sinclair the production process of a film. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!,Upton Sinclair,Mexico,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,e_demands_more_money_mexico
Cinema,1931-10-25,,,Upton Sinclair writes a letter to Lev Monosson with a new financial calculation based on the new production plan of Sergei Eisenstein.,"In a letter to Monosson, Upton Sinclair suggests that, based on the new production schedule, $15,000 of Amkino's investment be spent on filming and $10,000 on editing. ",Cinema and Theatre,¡Que viva México!,Upton Sinclair;Monosson;¡Que viva México!,Upton Sinclair;Lev Monosson,,¡Que viva México!,,Amkino,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,Sinclair_financial_calculation_new_production_plan_mexico
Cinema,1931-10-27,,,Upton Sinclair signs a contract with MGM for the filming of 'Wet Parade'. ,Upton Sinclair signs contract with MGM about a payment of 18000 dollars for the filming of 'Wet Parade'.,Cinema and Theatre,¡Que viva México!,The Wet Parade;Upton Sinclair;Metro-Goldwyn-Mayer;¡Que viva México!,Upton Sinclair,United States of America,,,MGM (Metro-Goldwyn-Mayer),,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,Sinclair_contract_Wet_Parade
Cinema,1931-10-28,,,Upton Sinclair assures Sergei Eisenstein that he is trying to raise new money and tells him to focus on the most essential recordings.,"Upton Sinclair  assures  Sergei Eisenstein  that  he is trying to  raise  new money. In the meantime, he should confine himself to the most essential shots.",Cinema and Theatre,¡Que viva México!,Upton Sinclair;¡Que viva México!,Upton Sinclair,,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,Sinclair_assures_E._more_money_mexico
Cinema,1931-11-00,1932-01-20,,Lev Monosson is called back to Moscow and is replaced by V. F. Smirnov.,Lev Monosson is called back to Moscow. V. F. Smirnov takes his place.,Cinema and Theatre,¡Que viva México!,Monosson;V. F. Smirnov;¡Que viva México!,Lev Monosson;Victor Smirnov,,¡Que viva México!,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 133,,,,,Monosson_replaced_by_Smirnov
