type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Biography,394,1930-05-06,,1930,,Receives the visa to the USA and leaves for Cherbourg the next day,Biography and Personality,,,,20,20
Biography,395,1930-05-08,,1930,Sails to New York,"On board the Europe Eisenstein, Tissé and Lasky sail to New York. ",Biography and Personality,,Jesse L. Lasky;Eduard Tissé;Travels,,20,20
Biography,396,1930-05-12,,1930,Arrives in New York ,"Arrival in New York; Eisenstein initially lives in the ""Hotel Astor"" on Times Square",Biography and Personality,,Travels,,20,20
Writings,397,1930-05-14,,1930,Lecture at annual congress of Paramount Pictures,Eisenstein speaks at the annual congress of Paramount in Atlantic City; he is introduced to the film distributors and spontaneously receives an offer to distribute his films. ,Writing and Teaching,,Paramount,,,20
Biography,398,1930-05-15,,1930,Meets Sarah Mildred Strauss,"Meeting with the dancer Sarah Mildred Strauss through her brother-in-law Albert Rhys Williams, whose book The popular masses in the Russian Revolution Eisenstein studied",Biography and Personality,,Sarah Mildred Strauss;Albert Rhys Williams;The popular masses in the Russian Revolution,,20,20
Biography,399,1930-05-20,,1930,The Russian-American Institute holds honorary dinner,The Russian-American Institute holds a dinner in honor of Eisenstein.,Biography and Personality;Cinema and Theatre,,Russian-American Institute,,20,20
Biography,400,1930-05-24,,1930,,"Eisenstein lives in Boston as guest H. W. L. Dana at Longfellow House, George Washingtons former residence during the Civil War. With the manager of the Boston Fine Arts Theatre the sites of the American Civil War",Biography and Personality,,,,20,20
Writings,401,1930-05-26,,1930,Gives a lecture at Harvard University entitled Film as Art,Eisenstein gives a lecture at Harvard University entitled Film as Art,Writing and Teaching,,Film as Art,,,20
Writings,402,1930-05-26,,1930,In New York speaks at a colloquium at Columbia University led by the philosopher John Dewey. One of the audience is Jay Leyda. ,In New York speaks at a colloquium at Columbia University led by the philosopher John Dewey. ,Writing and Teaching,,Columbia University;John Dewey,,,20
Biography,403,1930-06-01,,1930,Visit to the Svjatoslav Rerich Museum in New York,Visit to the Svjatoslav Rerich Museum in New York,Biography and Personality,,Travels;Svjatoslav Rerich Museum,,20,20
Cinema,404,1930-06-01,,1930,Legally signs contract with Paramount Pictures ,Through Amkino the agreement between Eisenstein and Paramount is legally signed. ,Cinema and Theatre,,,,1,20
Writings,405,1930-06-05,,1930,Gives a lecture on assembly at the university,In Chicago Eisenstein gives a lecture on assembly at the university.,Writing and Teaching,,,,,20
Cinema,406,1930-06-16,,1930,assigned as Associate Producer to J.-G. Bachmann. Start planning for Glass House ,"In Hollywood, Eisenstein is assigned as Associate Producer to J.-G. Bachmann. The first thing Eisenstein plans is the filming of The Glass House. ",Cinema and Theatre,The Glass House,J.-G. Bachmann;The Glass House,,1,20
Biography,407,1930-06-18,,1930,"First Encounter with Charlie Chaplin and Jack Pickford, also with Marlene Dietrich and Gary Cooper.","First encounter with Charlie Chaplin and Jack Pickford, Mary Pickfords brother, at a reception of the United Artists* arranged by Douglas Fairbanks. First meeting with Marlene Dietrich and Gary Cooper.",Biography and Personality;Cinema and Theatre,,Charlie Chaplin;Jack Pickford;Mary Pickford;United Artists;Douglas Fairbanks;Marlene Dietrich;Gary Cooper,,20,20
Biography,408,1930-06-20,,1930,First Encounter with Upton Sinclair,First meeting with Upton Sinclair at a dinner.,Biography and Personality,,Upton Sinclair,,20,20
Biography,409,1930-06-18,,1930,Visits Walt Disney,"Eisenstein visits Walt Disney; he loves his characters because ""in their best patterns, like the early creations of the Chinese and Japanese, they show neither shadows nor hatching"".",Biography and Personality,,Walt Disney,,20,20
Biography,410,1930-06-00,,1930,Visit the Chaplin Studios,Visit the Chaplin Studios,Biography and Personality,,Chaplin Studios,,20,20
Biography,411,1930-06-24,,1930,Renews his acquaintance with Theodor Dreiser.,Eisenstein renews his acquaintance with Theodor Dreiser.,Biography and Personality,,Theodor Dreiser,,20,20
Biography,412,1930-06-25,,1930,,Visited the neighbourhood and Montagu together with Sinclair Eisenstein the Millionaire,Biography and Personality,,,,20,20
Biography,413,1930-06-29,,1930,Visits Charlie Chaplin House ,Eisenstein visits Chaplin in his house and  makes the acquaintance of Luis Buñuel and Ugarte.,Biography and Personality,,Luis Buñuel;Ugarte;Charlie Chaplin,,20,20
Cinema,414,1930-06-30,,1930,"Makes the proposal to film the ""Iron Current"" in Hollywood","Eisenstein makes the proposal to film the ""Iron Current"" in Hollywood.",Cinema and Theatre,Iron Current,Iron Current,,1,20
Biography,415,1930-07-08,,1930,Studies for Sutters Gold project with Ivor Montagu and Grigoriy Aleksandrov,"With Montagu and Aleksandrov, Eisenstein stays in Los Angeles for study purposes for the Sutters Gold project. ",Biography and Personality;Cinema and Theatre,Sutter's Gold,Ivor Montagu;Grigori Aleksandrov;Sutter's Gold,,20,20
Biography,416,1930-07-29,,1930,,"Upton Sinclair offers Eisenstein a synopsis of his narrative""Mountain City"" for filming.",Biography and Personality;Cinema and Theatre,,,,20,20
Biography,417,1930-07-30,,1930,Visits San Francisco with Ivor Montagu and Grigoriy Aleksandrov,"Eisenstein, Montagu and Aleksandrov are in San Francisco. They visit Sutters Fort and talk to old settlers about the time of the gold rush. ",Biography and Personality;Cinema and Theatre,,Ivor Montagu;Grigori Aleksandrov;Sutter's Gold;Sutter's Fort,,20,20
Biography,418,1930-08-00,,1930,,In a Chicago newspaper Eisenstein explains to press reports that he will not return to Hollywood,Biography and Personality,,,,20,20
Biography,419,1930-08-02,,1930,Makes acquaintance with King Vidor at Ernst Lubitschs party,Eisenstein is at a party at Ernst Lubitschs; he does there the acquaintance of King Vidor.,Biography and Personality,,Ernst Lubitsch;King Vidor,,20,20
Writings,420,1930-08-00,,1930,"Gives a lecture at the University of California""The Film in Soviet Russia"".","Gives a lecture at the University of California ""The Film in Soviet Russia"".",Writing and Teaching,,The Film in Soviet Russia,,,20
Biography,421,1930-08-08,,1930,Continues the work on Sutters Gold together with  Ivor Montagu and Grigoriy Aleksandrov,Return to Hollywood. Eisenstein continues the work on Sutters Gold together with Montagu and Aleksandrov ,Biography and Personality;Cinema and Theatre,Sutter's Gold,Hollywood;Ivor Montagu;Grigori Aleksandrov;Sutter's Gold,,20,20
Cinema,422,1930-08-21,,1930,Speaks at a banquet of the Academy of Motion Picture Arts and Sciences about theory and practice of his film work,Eisenstein speaks at a banquet of the Academy of Motion Picture Arts and Sciences in the Hotel Roosevelt about theory and practice of his film work.,Cinema and Theatre;Writing and Teaching,,Academy of Motion Picture Arts and Sciences;Hotel Roosevelt,,1,20
Cinema,423,1930-09-00,,1930,The script for Sutters Gold is rejected by Paramount. ,The script for Sutters Gold is rejected by Paramount. ,Cinema and Theatre,Sutter's Gold,Paramount;Sutter's Gold,,1,20
Cinema,424,1930-09-17,,1930,Gives a lecture on the wide-screen film at a discussion of the Academy of Motion Pictures Arts and Sciences:The Dynamic Square,"Eisenstein gives a lecture on the wide-screen film at a discussion of the Academy of Motion Pictures Arts and Sciences:The Dynamic Square, which he later reworks in Mexico.",Cinema and Theatre;Writing and Teaching,,,,1,20
Cinema,425,1930-10-05,,1930,Eisenstein sends the scenario of the American Tragedy to Paramount. ,Eisenstein sends the scenario of the American Tragedy to Paramount. ,Cinema and Theatre,An American Tragedy,An American Tragedy;Paramount,,1,20
Biography,426,1930-10-23,,1930,Termination of contract with Paramount Pictures after mutual consent ,"Paramount announces that the agreement with Eisenstein will be terminated by mutual consent by the end of the month. Eisenstein receives a ticket to the Soviet Union, which provides for a stay in Japan for the duration of a film production.",Biography and Personality;Cinema and Theatre,,Paramount,,20,20
Biography,427,1930-10-25,,1930, Sinclair tells Eisenstein his disappointment at the rejection of the American Tragedy, Sinclair tells Eisenstein his disappointment at the rejection of the American Tragedy,Biography and Personality;Cinema and Theatre,An American Tragedy,An American Tragedy;Upton Sinclair ,,20,20
Cinema,428,1930-10-25,,1930,Mexican Picture Trust is set up by Upton and Mary Sinclair ,"Eisenstein talks to Sinclair for the first time, through the mediation of Viertel, about his plan to make a film in Mexico. In order to secure financing for the film, Upton and Mary Sinclair set up the Mexican Picture Trust.",Cinema and Theatre,,Upton Sinclair;Mary Craig Sinclair;Mexican Picture Trust,,1,20
Cinema,429,1930-11-18,,1930,,The Labour Department asks Eisenstein to leave the country by the end of November. Eisensteins negotiations with Sinclair and Amkino. Eisenstein spends the day with Robert Flaherty in Santa Monica.,Cinema and Theatre,,,,1,20
Cinema,430,1930-11-24,,1930,Signs contract regarding intellectual property rights for Mexican film,"signed with the consent of Sojuzkino* and the Russian-American joint stock company Amkino. Eisenstein An agreement with Mary Craig Sinclair: ""Eisenstein agrees that all footage, negative films and positive copies, as well as any story or idea in said Mexican film produced by him or under his direction in Mexico will be the property of Mary Craig Sinclair, and that she may sell said material in any manner and at any price she desires. She shall be the sole owner of the world rights to said Mexican film and shall have the option to register the copyright to it in her name [...] The final scenes of the agreement are based on Eisensteins desire to make a Mexican film according to his own ideas and in full confidence in Eisensteins artistic integrity and in consideration of his promise that the film will not have a political theme, in appreciation of his prestige and talent.",Cinema and Theatre,Que viva Mexico!,Sojuzkino;Mary Craig Sinclair;Que viva Mexico!,,1,20
Biography,431,1930-11-26,,1930,,The entry visas for the film group will be issued by Sinclair on. ,Biography and Personality;Cinema and Theatre,,,,20,20
Biography,432,1930-12-01,,1930,Makes adjustments in contract regarding intellectual property rights for Mexican film,"Mary Craig Sinclair agrees to a treaty amendment proposed by Eisenstein, according to which the Soviet Union will receive the Que viva Mexico! free of charge for screenings within the USSR.",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Mary Craig Sinclair;Que viva Mexico!;Hunter S. Kimborough,,20,20
Biography,433,1930-12-04,,1930,Sees City of Lights with Charlie Chaplin,"Before leaving with Chaplin, Eisenstein sees the edited version of City Lights, not yet set to music. (1931)",Biography and Personality,,Charlie Chaplin;City Lights,,20,20
Biography,434,1930-12-05,,1930,,"Eisensteins team crosses the Mexican border at Nogales. Sinclair urges Kimborough to refrain from alcohol in Mexico, as his wife Eisenstein has mentioned such a promisEisenstein",Biography and Personality,,,,20,20
Biography,435,1930-12-08,,1930,Arrives in Mexico,Eisenstein arrive in Mexico City,Biography and Personality,,Travels,,20,20
Biography,436,1930-12-09,,1930,Discusses the formalities for making the film at the Ministry of the Interior and the police headquarters,Eisenstein discusses the formalities for making the film at the Ministry of the Interior and the police headquarters; the police chief promises him general support and an interpreter. Discussion with the American ambassador Clark; in the evening visit of several small theatres. ,Biography and Personality;Cinema and Theatre,Que viva Mexico!,Travels;Que viva Mexico!,,20,20
Cinema,437,1930-12-09,,1930,,"Letter from M. C. Sinclair to Aline Barnsdall: ""We decided to make a $50000 film instead of a $25000 film. According to the professionals in the film business, this will pay off much more [...] Anyone who knows anything about the film business tells us that our investment will not be lost and we will make a safe profit.",Cinema and Theatre,,,,1,20
Cinema,438,1930-12-11,,1930,The Mexican government gives permission to film.,The Mexican government gives permission to film.,Cinema and Theatre,Que viva Mexico!,Travels;Que viva Mexico!,,1,20
Cinema,439,1930-12-14,,1930,Start of shooting Mexican Film with shots of the fiesta,Start of shooting with shots of the fiesta in Guadelupe and bullfighting scenes. ,Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,1,20
Cinema,440,1930-12-15,,1930,Mexican film team is assigned several consultants for the recording work,"Eisensteins team is assigned several consultants for the recording work, including Adolfo Best-Maugard and Augustin Aragon-Leiva. ",Cinema and Theatre,Que viva Mexico!,Adolfo Best-Maugard;Augustin Aragon-Leiva;Que viva Mexico!,,1,20
Cinema,441,1930-12-17,,1930,Sketches an atmospheric rough draft for the epilogue,Eisenstein sketches an atmospheric rough draft for the epilogue,Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,1,20
Cinema,442,1930-12-21,,1930,Part of the film team including Eisenstein gets arrested for a short while before getting released after a short interrogation," Eisenstein, Aleksandrov, Tissé and Hunter S. Kimborough are probably arrested at 10 a.m. on the basis of a denunciation by Pease. After a brief interrogation, Eisensteins group is released but remains under surveillance",Cinema and Theatre,Que viva Mexico!,Major Pease;Grigori Aleksandrov;Eduard Tissé;Hunter S. Kimborough;Que viva Mexico!,,1,20
Cinema,443,1930-12-28,,1930,Eisenstein films bullfighting scene in Puebla,Eisenstein films bullfights in Puebla,Cinema and Theatre,Que viva Mexico!,Travels;Que viva Mexico!,,1,20
Cinema,444,1931-02-01,,1931,Shooting in Acapulco,Shooting in Acapulco. ,Cinema and Theatre,Que viva Mexico!,Travels;Que viva Mexico!,1,1,20
Biography,445,1931-02-01,,1931,Meets President Ortiz Rubio. ,Meeting with President Ortiz Rubio. ,Biography and Personality,,Travels;President Ortiz Rubio,,20,20
Biography,446,1931-01-09,,1931,Meets Mexican painter David Alfaro Siqueiros.,Meeting with the Mexican painter David Alfaro Siqueiros.,Biography and Personality,,David Alfaro Siqueiros,,20,20
Cinema,447,1931-01-16,,1931,Earthquake in Oaxaca,Earthquake in Oaxaca. The group charters a plane to film the earthquake,Cinema and Theatre,,Travels,,1,20
Biography,448,1931-01-17,,1931,,Return to Mexico City,Biography and Personality,,,,20,20
Biography,449,1931-01-23,,1931,Upton Sinclair shows photographs from Mexican film to selected group without informing Eisenstein ,"Sinclair shows in Los Angeles to a selected group of people, including Albert Einstein, Berthold and Salka Viertel and Seymour Stern, the first photographs from Mexico. At Eisensteins urgent request, Sinclair later promises not to show any material until Eisenstein has seen it.",Biography and Personality,Que viva Mexico!,Upton Sinclair;Albert Einstein;Berthold;Salka Viertel;Seymour Stern;Que viva Mexico!,,20,20
Biography,450,1931-01-31,,1931,Commissions Leopold Stokowsk to compose music for Que viva Mexico!. ,Meeting with the composer Leopold Stokowski in Mexico City. Eisenstein commissions him to compose the music for the Que viva Mexico!. ,Biography and Personality;Cinema and Theatre,Que viva Mexico!,Leopold Stokowski;Que viva Mexico!,,20,20
Biography,451,1931-01-31,,1931,Gets invited by Mexico CIty mayor and gets misunderstood for Einstein,"The district major of Mexico City invites Eisenstein for a conversation; after more than an hour of waiting, it turns out that Eisenstein has been mistaken for Einstein.",Biography and Personality,,Albert Einstein,,20,20
Biography,452,1931-01-30,,1931,Departure of the group to Tehuantepec for recording.,Departure of the group to Tehuantepec for recording.,Biography and Personality;Cinema and Theatre,Que viva Mexico!,Travels;Que viva Mexico!,,20,20
Biography,453,1931-02-04,,1931,Arrival of Que viva Mexico! team in Tehuantepec,"Arrival in Tehuantepec, the scene of the first novel Sandunga. Aleksandrov, Tissé, Hunter S. Kimborough and Leiva ride to Salina Cruz to get film material. On the way back they take pictures of a fiesta in San Mateo. Eisenstein is sick with flu for two days.",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Sandunga;Grigori Aleksandrov;Eduard Tissé;Hunter S. Kimborough;Leiva;Que viva Mexico!,,20,20
Biography,454,1931-02-05,,1931,Checks out filming oppertunities at Jauchitan,"Eisenstein, Aleksandrov and Hunter S. Kimborough drive to Jauchitan to check the area for filming opportunities. The result is negative.",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Grigori Aleksandrov;Hunter S. Kimborough;Que viva Mexico!,,20,20
Cinema,455,1931-02-06,,1931,Films a fiesta in Tehuantepec,"In Tehuantepec, Eisenstein films a fiesta",Cinema and Theatre,Que viva Mexico!,Travels;Que viva Mexico!,,1,20
Cinema,456,1931-02-19,,1931,FIlms a bullfighting scene in San Blas ,Eisenstein is filming in San Blas where he hires the bullfighter Liceaga for bullfighting scenes.,Cinema and Theatre,Que viva Mexico!,Liceaga;Que viva Mexico!,,1,20
Biography,457,1931-02-20,,1931,Upton Sinclair updates about finances for Que viva Mexico! ,"Sinclair writes to Hunter S. Kimborough that the amount of $50,000 is secured for the next few days; however, only $40,000 is expected to be used in Mexico, with the rest for synchronization in the USA. Advises him to get the visa for the USA already",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Hunter S. Kimborough;Que viva Mexico!,,20,20
Graphic,458,1931-12-31,,1931,Conceives the direction of Black Majesty,Eisenstein makes drawings and conceives the direction of Black Majesty,Graphic Art;Cinema and Theatre,Black Majesty,Black Majesty;Drawing,,,20
Cinema,459,1931-03-02,,1931,,The Mexico film team leaves Tehuantepec,Cinema and Theatre,,,,1,20
Biography,460,1931-03-04,,1931,,Arrival in Mexico City.,Biography and Personality;Cinema and Theatre,,,,20,20
Biography,461,1931-03-07,,1931,Que viva Mexico! team flies to shoting location of prologue,"Eisensteins Que viva Mexico! group flies to Yucatan, the location of the prologue",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,20,20
Cinema,462,1931-03-08,,1931,Shoots bullfighting scene in Merida ,With Liceaga bullfighting shots in Merida.,Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,1,20
Cinema,463,1931-03-20,,1931,Obtains permission to film the ruins of Chichin Itza,Obtained permission to film the ruins of Chichin Itza. Weather and light conditions deterioratEisenstein,Cinema and Theatre,Que viva Mexico!,Chichin Itza;Que viva Mexico!,,1,20
Cinema,464,1931-03-22,,1931,Filming in Merida,Filming in Merida,Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,1,20
Cinema,465,1931-03-23,,1931,Working with Liceaga on close-ups.,Working with Liceaga on close-ups.,Cinema and Theatre,Que viva Mexico!,Liceaga;Que viva Mexico!,,1,20
Cinema,466,1931-04-04,,1931,,"Eisensteins group in Celestun, Yucatan.",Cinema and Theatre,,,,1,20
Cinema,467,1931-04-06,,1931,,Sinclair writes his mother that the cost of the film is now affecting him personally. ,Cinema and Theatre,,,,1,20
Cinema,468,1931-04-12,,1931,Receives an offer to film Joseph R. Kiplings novel Kim,Eisenstein receives an offer to film Joseph R. Kiplings novel Kim,Cinema and Theatre,,Joseph R. Kipling;Kim;Que viva Mexico!,,1,20
Cinema,469,1931-04-12,,1931,Que viva Mexico! team shoots in Chichin Itza Yucatan,"Eisensteins group works in Chichin Itza, Yucatan.",Cinema and Theatre,Que viva Mexico!,Chichin Itza;Que viva Mexico!,,1,20
Cinema,470,1931-04-21,,1931,Que viva Mexico! team shoots at picturesque location in Izamal/Yucatan,"Eisensteins group works in Izamal/Yucatan. They film ""Mayan Indians, Spanish ladies in picturesque carriages and a wonderful monastery,""",Cinema and Theatre,Que viva Mexico!,Que viva Mexico!,,1,20
Biography,471,1931-04-30,,1931,Eisenstein back in Mérida,Eisenstein back in Mérida,Biography and Personality,,,,20,20
Biography,472,1931-04-29,,1931,Departure from Mérida.,Departure from Mérida.,Biography and Personality,,,,20,20
Cinema,473,1931-04-30,,1931,Eisenstein complains about advertisement strategy of Upton Sinclair ,Eisenstein complains to Sinclair that he startsadvertising prematurely and behaves clumsily towards thepress.,Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Que viva Mexico!,,1,20
Writings,474,1931-05-01,,1931,Starts working on a book aboutquestions of directing,Eisenstein is working on a book aboutquestions of directing.,Writing and Teaching,,,,,20
Cinema,475,1931-05-04,,1931,Arrives at Hacienda Tetlapayac to shoot Maguey episode,"Arrival at the Hacienda Tetlapayac, the scene of the Maguey episode.",Cinema and Theatre,Que viva Mexico!,Maguey;Que viva Mexico!,,1,20
Biography,476,1931-05-20,,1931,Que viva Mexico!s shooting comes to a temporary halt due to weather so he ocuoies himslef with books ,"Due to continuous rain, filming comes to a halt. Eisensteinasks Sinclair for eight books, including an ethymologicaldictionary and The Black Napoleon by Percy Waxman",Biography and Personality;Cinema and Theatre,Que viva Mexico!,Filming Interruptions;Upton Sinclair;The Black Napoleon;Percy Waxman;Que viva Mexico!,,20,20
Biography,477,1931-06-20,,1931,Rain causes interruptions in shooting ,No shooting is possible due to persistent rain. Eisensteinwrites Sinclair that he may sue Major Pease for insult upon hisreturn.,Biography and Personality;Cinema and Theatre,Que viva Mexico!,Filming Interruptions;Major Pease;Upton Sinclair;Que viva Mexico!,,20,20
Biography,478,1931-07-00,,1931,Sends activity report to ARK in Moscow ,"Eisenstein sends an activity report to the ARK in Moscow. ""The work was carried out under impossible difficulties. In the city of Mexico City, the air was too thin for us  people of the plains because the city is 9750 feet above sea level. The tropical heat torments us more than the autumn days in Moscow. He hopes to be back in Moscow in August. (A80)",Biography and Personality;Cinema and Theatre,,Mexico Film;Mexico City;ARK;personal comment,,20,20
Cinema,479,1931-07-01,,1931,Negotiates with Upton Sinclair over finances for Que viva Mexico!,"Eisenstein writes Sinclair that $5,000 is not enough for the rest of the shoot. Suggests spending $15,000 for this and using $5,000 to finance the installation. Funders for the dubbing were easier to find for a montaged silent film than for an incomplete film.",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Que viva Mexico!,,1,20
Cinema,480,1931-07-09,,1931,Sign the text of the agreement to establish the <Mexican Picture Trust,"Mary  Craig  Sinclair,  Robert  Irwin,  and  Hunter Kimborough  sign  the  text  of  the  agreement  to  establish  the <Mexican  Picture  Trust>.  Kimboroughs  departure  for  Mexico. (D75, p. 102ff., 110) ",Cinema and Theatre,,Mexican Picture Trust;Mary Craig Sinclair;Robert Irwin;Hunter Kimborough,,1,20
Cinema,481,1931-07-10,,1931,EIsenstein is suggested to include direct sound sequence in Que viva Mexico!,"Sinclair suggests to Eisenstein that he include some direct sound sequences in the film, following the example of Sous les toits de Paris (Rene Clair 1930)",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Sous les toits de Paris;Que viva Mexico!,,1,20
Cinema,482,1931-07-18,,1931,Fatal accident during filming of Que viva Mexico!,A fatal accident occurs during the filming: a leading actor steals Tissés pistol and kills his sister.,Cinema and Theatre;Biography and Personality,Que viva Mexico!,Filming Interruptions;Eduard Tissé;Que viva Mexico!,,1,20
Biography,483,1931-07-00,,1931,Falls ill during shooting of Que viva Mexico! ,Eisenstein is ill for a week. The shooting is interrupted.  ,Biography and Personality,Que viva Mexico!,Que viva Mexico!,,20,20
Biography,484,1931-08-00,,1931,Mexican resident permit extended until January 1932,"In a letter to Moussinac, Eisenstein explains that his residence permit abroad was extended until January 1932.",Biography and Personality,Que viva Mexico!,Moussinac;Letter;Que viva Mexico!,,20,20
Biography,485,1931-08-07,,1931,Sinclairs  letter  to  Eisenstein,"Sinclairs  letter  to  Eisenstein:  He  complains  about  Eisensteins contradictory instructions about publicity measures and mentions a telegram from Kimborough that states, that Eisenstein had in the meantime seen the first developed footage (D75, p. 114f.) ",Biography and Personality,Que viva Mexico!,Sinclair;Hunter S. Kimborough;conflict;correspondence;Que viva Mexico!,,20,20
Cinema,486,1931-08-07,,1931,Sinclair seeks a loan,"Sinclair seeks a loan of $10 - 15,000 from the Amalgamated Bank in New York. (D75, P. 117)",Cinema and Theatre,,Sinclair;loan;Amalgamated Bank;New York,,1,20
Cinema,487,1931-08-08,,1931, Monosson writes to Sinclair," Monosson writes Sinclair that Amtorg (Amkino) will not invest any money in the film. (D75, P. 114)",Cinema and Theatre,,Monosson;Sinclair;Amtorg;Amkino;funding,,1,20
Cinema,488,1931-08-21,,1931,Thoughts on the novel Maguey,"Further negative material of the Maguey novel is sent to California. Eisenstein to Sinclair: ""I think it is of a strong dramatic power and in the plastic effect is best achieved. The story takes place in pre-revolutionary Mexico, that is, before 1910 - the days of Porfirio Diazs dictatorship (the portrayal of the general refers to Diaz). But I wouldnt invite anyone to a screening of these recordings  [...] - all  the  material  is  very  tragic death  and executions - and because it hasnt been edited yet, it could have a depressive rather than cathartic effect on older ladies (which it will have in the final composition).",Cinema and Theatre,Que viva Mexico!,Maguey;Upton Sinclair;Que viva Mexico!,,1,20
Cinema,489,1931-08-27,,1931,,"Sinclair sick. Kimborough sends him the text of a statement  to  the  Mexican  government,  in  which  he  describes their demand for a censored screening of the finished film as an obstacle to its financing. (D75, p. 120f.) ",Cinema and Theatre,,Sinclair;illness;Kimborough;Mexican government;censored screening;funding,,1,20
Cinema,490,1931-08-28,,1931,Upton Sinclair shares his concern about legths of shots filmed for Que viva Mexico!,"Sinclair suggests to Eisenstein that, for cost reasons out of the hacienda story, he assemble a five - reel film with a roll of  prologue and epilogue, then return to Mexico and make a second  film  from  the  new  and  unused  old  material. He is concerned about the length of the shots filmed so far.  It is 45,720 meters. ",Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Que viva Mexico!,,1,20
Cinema,491,1931-08-00,,1931,MGM secures an option to film the Sinclair novel The Wet Parade,"MGM secures an option to film the Sinclair novel The Wet Parade (1931). Sinclair talks to Irvin Thaiberg about the Mexico film. (D75, p. 123f.)",Cinema and Theatre,,,,1,20
Cinema,492,1931-08-00,,1931,"In Que viva Mexico!, Maugart is replaced by Julio Saldivar ",Adolpho Best - Maugart leaves the group due to a salary cut by Kimborough; he is replaced by Julio Saldivar  ,Cinema and Theatre,Que viva Mexico!,Adolpho Best - Maugart;Hunter S. Kimborough;Julio Saldivar;Que viva Mexico!,,1,20
Cinema,493,1931-08-31,,1931,Film group prepares for the recordings of the Day ofthe Dead in Mexico City for Que viva Mexico!,"Eisensteins group prepares for the recordings of the Day of the  Dead  in  Mexico  City.  ""I confess  uite objectively and sincerely that the Day of the Dead, or, more correctly, what I had heard  about  it,  has  been  in  me  […]  that  passionate  longing which, despite my advanced age, can only be compared to the one which seizes every boy once and makes him dream of going to the land of the red - skinned Indians James Fenimore Coopers or to Marseilles, in order to visit with his own eyes the prison cell in the castle If, from which the later Count of Monte Cristo had  once  fled!  (A152a)  Serious  differences  between Kimborough and Eisenstein Kimborough protests unsuccessfully against further bullfighting and fiesta recordings. ",Cinema and Theatre,Que viva Mexico!,Count of Monte Cristo;Hunter S. Kimborough;Que viva Mexico!,,1,20
Biography,494,1931-09-00,,1931,,"Sinclair sick. (D75, P. XVI)",Biography and Personality,,,,20,20
Cinema,495,1931-09-03,,1931,DIfferences with Kimborough over finances of Que viva Mexico!,"Serious differences between Kimborough and Eisenstein Kimborough to Sinclair: ""Eisenstein boasts that if money is impossible to raise, he will approach his friends [...] Plans 2-3 months of work here -waste our time shoot fiestas, bullfights suggest you telegraph him [...] money is impossible to raise -prepare to return to Hollywood. Sinclair reiterates his concerns about the length of the film and the August 28 proposal. MGM is willing to do the dubbing for a story  film.  It  was  indeed  apparent  that  Eisenstein  was  editing  an excessively  long  version  and  that  it  would  be  rejected  by Hollywood. Sinclair goes on to say that if Eisenstein dropped an episode during editing, it would not be noticed. Sinclair  to  Monosson:  ""Throughout  the  film,  the  hacienda episode  alone  forms a continuous story of interest to the audienc. ",Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Upton Sinclair;Que viva Mexico!,,1,20
Cinema,496,1931-09-07,,1931,Coordinates with Upton Sinclair about Que viva Mexico! finances and some important production decisions ,"In a letter to Sinclair, Eisenstein rejects his August 28 proposal. This is the same as making the death of Polonius in Hamlet a spectacle of its own and the rest a new spectacle. Fears that he will be called back to Russia immediately after completion of the first film. Reports contacts to Universal*, from whom he hopes for further financing.",Cinema and Theatre,Que viva Mexico!,Letter;Hamlet;Upton Sinclair;Que viva Mexico!,,1,20
Biography,497,1931-09-08,,1931,Tells Sinclair of his annoyance at his contacts with Metro-Goldwyn-Mayer Production Company,Eisenstein tells Sinclair of his annoyance at his contacts with MGM. ,Biography and Personality;Cinema and Theatre,Que viva Mexico!,Upton Sinclair;Metro-Goldwyn-Mayer;Que viva Mexico!,,20,20
Cinema,498,1931-09-09,,1931,Finishes filming fiesta and apporaches potential sponsors ,Shooting of the Fiesta is completed. Kimborough and Eisenstein make new contacts with potential sponsors.,Cinema and Theatre,Que viva Mexico!,Hunter S. Kimborough;Que viva Mexico!,,1,20
